PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESIONAL B;3363799.00;1.000;36; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1401004.00;1.000;27; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      
PROFESOR CATEDRATICO                   ;3911880.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2253527.00;1.000;30; ;PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  
PROFESOR INSTRUCTOR                    ;583779.25;0.250;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5013976.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1319831.00;1.000;27; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1939603.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1183911.65;0.875;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;8605383.00;1.000;52; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1688398.00;1.000;34; ;TÉCNICO EN SERVICIOS MULTIMEDIA E INFORMÁTICOS                                                                                                                                                                                                                  
TRABAJADOR OPERATIVO C;1748401.00;1.000;28; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;2047799.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1847454.00;1.000;26; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;464927.75;0.250;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2035597.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;46873.20;1.000;37;MES INCOMPLETO;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;6022186.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;6499637.00;1.000;38; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4158261.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;3955135.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
MIEMBRO CONSEJO UNIVERSITARIO;4716463.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;165506.90;0.125;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1387220.00;1.000;22; ;TÉCNICO EN APOYO A LOS PROCESOS DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                     
PROFESOR ADJUNTO                       ;654704.00;0.500;13; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3212285.00;1.000;27; ;PROFESIONAL EN AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                             
PROFESOR CATEDRATICO                   ;4535038.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4242954.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3202801.00;1.000;30; ;PROFESIONAL COORDINADOR DE OBRAS DE INFRAESTRUCTURAS                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;232504.25;0.156;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;4506500.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4002943.05;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;694995.50;0.500;3; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2013182.00;1.000;34; ;TÉCNICO DE LABORATORIO EN BROMATOLOGÍA                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1406968.00;1.000;34; ;ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            
PROFESOR ASOCIADO                      ;3113647.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3510517.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1443557.00;1.000;29; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
DIRECTOR DE ESCUELA;2796542.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;16;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2013182.00;1.000;33; ;TÉCNICO EN BECAS Y BENEFICIOS COMPLEMENTARIOS DE SEDE                                                                                                                                                                                                           
VICERRECTOR;6805585.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3576333.00;1.000;38; ;PROFESIONAL EN GESTIÓN ADMINISTRATIVA Y DE PROYECTOS DEL CIEDES                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;1985158.00;1.000;34; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL B;3340741.00;1.000;38; ;PROFESIONAL EN APOYO DE EVALUACIÓN DE PLANES UNIVERSITARIOS                                                                                                                                                                                                     
PROFESOR ASOCIADO                      ;3256117.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3827238.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;542751.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1500766.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1244473.00;1.000;28; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO B;1595728.00;1.000;28; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA MOLECULAR                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;1927297.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2959173.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4013574.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2916817.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1572473.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1422281.00;1.000;25; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1420105.00;1.000;31; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;1313253.00;0.750;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1927930.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;1490240.00;1.000;6; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN EN SISMOLOGÍA                                                                                                                                                                                                           
PROFESIONAL B;3171071.00;1.000;39; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
PROFESIONAL C;2260654.50;1.000;27; ;PROFESIONAL EDITOR DE REVISTA DE BIOLOGÍA TROPICAL                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1971008.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2197786.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2194031.00;1.000;26; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;2972702.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;809944.50;0.500;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;370692.00;0.250;12; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2166286.00;1.000;40; ;TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;638882.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;426984.75;0.250;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2084141.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;114038.20;0.125;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;1879606.50;0.750;20; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2763640.00;1.000;28; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN MICROBIOLÓGICA                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;2704939.50;0.750;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1453378.00;1.000;26; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
DECANO;5086965.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO EDUCACION SUPERIOR;1348733.00;0.500;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;174365.15;0.125;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;220712.15;0.125;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;250142.80;0.125;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3573505.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1912005.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2214187.00;1.000;27; ;PROFESIONAL EN CONSULTORÍA JURÍDICA                                                                                                                                                                                                                             
PROFESOR INSTRUCTOR                    ;1986137.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1469639.00;1.000;37; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE A;4392767.00;1.000;36; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE B;4778168.00;1.000;36; ;JEFE DE AUDITORÍA                                                                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;4050413.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1733118.00;1.000;29; ;TÉCNICO DE LABORATORIO EN ESPECTROMETRÍA GAMMA                                                                                                                                                                                                                  
PROFESIONAL C;3259084.00;1.000;21; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
DIRECTOR CENTRO REGIONAL;3035684.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;2571664.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3713947.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3502803.00;1.000;37; ;PROFESIONAL EN ELABORACIÓN DE SOFTWARE EDUCATIVO                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;4753150.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4317540.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2383709.00;1.000;32; ;PROFESIONAL EN GESTIÓN INTEGRAL DE PAGO                                                                                                                                                                                                                         
PROFESIONAL A;2925920.00;1.000;37; ;PROFESIONAL EN MANTENIMIENTO DE EQUIPO ELECTRÓNICO                                                                                                                                                                                                              
JEFE A;3679163.00;1.000;35; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;3817312.50;1.000;34; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2340226.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1400050.00;1.000;31; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESIONAL A;2195902.00;1.000;20; ;PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL A;1500325.00;1.000;38; ;BODEGUERO                                                                                                                                                                                                                                                       
JEFE B;3968000.00;1.000;33; ;JEFE DE ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                                 
PROFESIONAL C;3301942.00;1.000;27; ;PROFESIONAL COORDINADOR C DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;3190341.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1319831.00;1.000;27; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1294621.00;1.000;23; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;5255099.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
DIRECTOR DE ESCUELA;4361627.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;1893657.00;1.000;11; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
JEFE A;3939429.00;1.000;33; ;JEFE DE PRESUPUESTO ORDINARIO                                                                                                                                                                                                                                   
PROFESOR INSTRUCTOR                    ;1548267.80;0.875;18; ;PUESTO NO ADMINISTRATIVO
JEFE A;3587012.00;1.000;32; ;JEFE DE CONSTRUCCIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;4041381.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;583450.50;0.500;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1311368.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1430603.00;1.000;40; ;PENDIENTE                                                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO B;1374764.00;1.000;37; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL B;2165679.65;0.750;38; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESIONAL C;2467592.00;1.000;17; ;PROFESIONAL COORDINADOR DE ATENCIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                         
JEFE A;4462621.00;1.000;38; ;JEFE DE RECLUTAMIENTO Y SELECCIÓN                                                                                                                                                                                                                               
PROFESIONAL A;2602755.00;1.000;32; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
JEFE A;3102027.00;1.000;29; ;
PROFESIONAL B;935937.00;1.000;2; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR INSTRUCTOR                    ;1991717.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;267214.10;0.250;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2293338.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;173497.65;0.125;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1704923.00;1.000;22; ;TÉCNICO DE LABORATORIO EN CALIDAD DE MEDICAMENTOS                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;523922.00;0.250;28; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;190949.80;0.125;12; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3468766.00;1.000;32; ;PROFESIONAL COORDINADOR DE ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                 
PROFESIONAL C;3001939.00;1.000;19; ;PROFESIONAL EN DESARROLLO Y GESTIÓN DE SERVICIOS Y PRODUCTOS.                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;221737.75;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;215174.65;0.125;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;681808.40;0.375;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2052876.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;3244336.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3793905.00;1.000;36; ;PROFESIONAL COORDINADOR DE PRUEBA DE APTITUD ACADÉMICA                                                                                                                                                                                                          
PROFESOR ASOCIADO                      ;115738.70;1.000;31;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1464834.00;1.000;30; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1315898.00;1.000;24; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;1765623.00;1.000;36; ;
TECNICO ESPECIALIZADO D;1648876.00;1.000;20; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
PROFESOR ADJUNTO                       ;2424735.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1642841.00;1.000;26; ;TÉCNICO EN APOYO AL PROCESO ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2422193.75;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3269685.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1358786.00;1.000;32; ;REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL                                                                                                                                                                                                                
PROFESIONAL C;4058630.00;1.000;36; ;PROFESIONAL EN DESARROLLO Y GESTIÓN DE SERVICIOS Y PRODUCTOS.                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;1108413.00;0.750;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1486110.00;1.000;31; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO A;1711871.00;1.000;37; ;
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
JEFE A;3934714.00;1.000;33; ;JEFE DE SEGURIDAD Y TRÁNSITO                                                                                                                                                                                                                                    
PROFESOR ADJUNTO                       ;2455091.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1592493.00;1.000;37; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;7; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1592829.00;1.000;16; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;522269.15;0.375;16; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2882432.00;1.000;31; ;PROFESIONAL EN GESTIÓN DE LA VALORACIÓN DE RECURSOS Y PROVEEDORES                                                                                                                                                                                               
PROFESOR ADJUNTO                       ;2188097.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1434289.00;1.000;39; ;CHOFER                                                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1280907.00;1.000;27; ;ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            
DIRECTOR DE ESCUELA;2317065.00;1.000;28; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2973428.00;1.000;18; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR ADJUNTO                       ;2457442.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO REGIONAL;5222354.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3515292.50;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;487137.30;0.375;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;6267434.00;1.000;37; ;PUESTO NO ADMINISTRATIVO
JEFE A;3402710.00;1.000;29; ;JEFE DE SISTEMA EDITORIAL                                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO B;1151408.00;1.000;24; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1313668.60;0.676;25; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1436665.00;1.000;29; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;3807703.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
